episode,reward,avg_reward,epsilon,duration
1,-713.1027499465945,-713.1027499465945,0.995,0.08593463897705078
2,-196.5404832130971,-454.8216165798458,0.990025,0.15974926948547363
3,-1694.0421644477847,-867.8951325358254,0.985074875,0.2110743522644043
4,-1672.279007657051,-1068.9911013161318,0.9801495006250001,0.1481950283050537
5,-9670.319977554112,-2789.256876563728,0.9752487531218751,0.802631139755249
6,-1519.0988995796743,-2577.563880399719,0.9703725093562657,0.2543468475341797
7,-285.5557468855677,-2250.1341470405546,0.9655206468094844,0.24925708770751953
8,-711.4191463767293,-2057.7947719575764,0.960693043575437,0.2068650722503662
9,-10393.613267771036,-2983.996827047961,0.9558895783575597,0.7988090515136719
10,-12129.089303332448,-3898.5060746764093,0.9511101304657719,0.8060781955718994
11,-632.7877419228405,-3601.62258988063,0.946354579813443,0.2659323215484619
12,-523.2584689614105,-3345.092246470695,0.9416228069143757,0.2192387580871582
13,-477.08366792145375,-3124.4762019669074,0.9369146928798039,0.2501180171966553
14,-846.3758468544784,-2961.754748030305,0.9322301194154049,0.1595907211303711
15,-403.7789860992432,-2791.223030568234,0.9275689688183278,0.21045422554016113
16,-1122.074151928604,-2686.901225653258,0.9229311239742362,0.23067402839660645
17,-1758.052308241904,-2632.263054040825,0.918316468354365,0.2974965572357178
18,-1342.4649095373154,-2560.607601568408,0.9137248860125932,0.13512015342712402
19,-9926.029382838487,-2948.2613795299912,0.9091562615825302,0.80112624168396
20,-10906.511795850538,-3346.1739003460184,0.9046104802746175,0.7994649410247803
21,-508.40573526087405,-3211.042082961012,0.9000874278732445,0.22130846977233887
22,-1137.660422298193,-3116.7974620217933,0.8955869907338783,0.14532208442687988
23,-11008.108570101738,-3459.897944981791,0.8911090557802088,0.8161172866821289
24,-296.752286634475,-3328.1002092173185,0.8866535105013078,0.2661757469177246
25,-456.94410407829287,-3213.253965011758,0.8822202429488013,0.2816345691680908
26,-902.6249017483294,-3124.383616424703,0.8778091417340573,0.32846522331237793
27,-8690.94470213595,-3330.5525455251195,0.8734200960253871,0.8467581272125244
28,-387.6778271841556,-3225.4498770129426,0.8690529955452602,0.44121408462524414
29,-9184.138419068486,-3430.921895704513,0.8647077305675338,0.8417627811431885
30,-577.9096152396799,-3335.8214863556855,0.8603841919146962,0.20625638961791992
31,-1115.897974728674,-3264.21105049675,0.8560822709551227,0.4237210750579834
32,-386.07435951250795,-3174.2692789034913,0.851801859600347,0.4703338146209717
33,-500.599816790849,-3093.248992172805,0.8475428503023453,0.6615114212036133
34,-386.4387667799292,-3013.636926720074,0.8433051360508336,0.28266334533691406
35,-618.6497208951712,-2945.2087208393623,0.8390886103705794,0.5005807876586914
36,-489.00185727614166,-2876.980752407051,0.8348931673187264,0.2906765937805176
37,-548.9438761571348,-2814.060836832729,0.8307187014821328,0.48917579650878906
38,-1038.4990479974747,-2767.3355266002222,0.8265651079747222,0.2921626567840576
39,-1196.9055060363114,-2727.0680901755068,0.8224322824348486,0.3100588321685791
40,-712.9337765156033,-2676.7147323340087,0.8183201210226743,0.278064489364624
41,-461.72270998972635,-2622.690536667075,0.8142285204175609,0.3462536334991455
42,-757.2990605263712,-2578.2764539018203,0.810157377815473,0.27036118507385254
43,-668.5922753238974,-2533.865193934892,0.8061065909263957,0.2701413631439209
44,-221.9832174508574,-2481.322421742073,0.8020760579717637,0.19829416275024414
45,-6365.4686508095565,-2567.6367823880173,0.798065677681905,0.8467237949371338
46,-268.1423574938178,-2517.647773151187,0.7940753492934954,0.5037021636962891
47,-365.71744670632484,-2471.8620215247006,0.7901049725470279,0.37365102767944336
48,-366.5010081781745,-2428.0003337466474,0.7861544476842928,0.4147515296936035
49,-568.1803947590215,-2390.044824787716,0.7822236754458713,0.3108391761779785
50,-416.33791785600806,-2350.570686649082,0.778312557068642,0.3598651885986328
51,-455.9634971498251,-2313.4215260706655,0.7744209942832988,0.2861933708190918
52,-241.24335281326626,-2273.5719458157155,0.7705488893118823,0.5107624530792236
53,-248.20518057662252,-2235.3574785470532,0.7666961448653229,0.3864924907684326
54,-579.8650214365423,-2204.700210822785,0.7628626641409962,0.36018872261047363
55,-442.64675404279683,-2172.662875244967,0.7590483508202912,0.45217037200927734
56,-477.7686545574961,-2142.3969070184044,0.7552531090661897,0.24894285202026367
57,-526.3698806642294,-2114.045555678858,0.7514768435208588,0.2410440444946289
58,-399.1097316584289,-2084.4776966440227,0.7477194593032545,0.23424839973449707
59,-643.0477410653532,-2060.046680447774,0.7439808620067382,0.5570814609527588
60,-194.8313339492977,-2028.9597580061331,0.7402609576967045,0.3546912670135498
61,-458.67913681882624,-2003.2174527407674,0.736559652908221,0.62174391746521
62,-427.76963126528267,-1977.8070040072919,0.7328768546436799,0.44615864753723145
63,-1085.6775425142348,-1963.6462189042275,0.7292124703704616,0.45307087898254395
64,-7810.910260545641,-2055.009719554874,0.7255664080186093,0.9197413921356201
65,-386.1584788808525,-2029.3350850829663,0.7219385759785162,0.3512444496154785
66,-251.5266430918798,-2002.3985935376465,0.7183288830986236,0.3490180969238281
67,-671.3753473116756,-1982.532574937259,0.7147372386831305,0.40972328186035156
68,-708.1292973706422,-1963.7913502671615,0.7111635524897149,0.46157169342041016
69,-218.44762632723152,-1938.4965136883218,0.7076077347272662,0.8312041759490967
70,-635.8848881489339,-1919.8877761806161,0.7040696960536299,0.3008553981781006
71,-732.7340648347438,-1903.1673013729278,0.7005493475733617,0.6103341579437256
72,-510.0060901218951,-1883.817840105553,0.697046600835495,0.26959824562072754
73,-388.9925873382688,-1863.3407818484666,0.6935613678313175,0.3521757125854492
74,-308.95091631828996,-1842.335513395356,0.6900935609921609,0.7630071640014648
75,-160.20822626966242,-1819.9071495670134,0.6866430931872001,0.6350915431976318
76,-803.343040498972,-1806.5313060266444,0.6832098777212641,0.36910271644592285
77,-238.73630795124177,-1786.1703320256652,0.6797938283326578,0.31014418601989746
78,-924.6718365406541,-1775.125479519447,0.6763948591909945,0.41979289054870605
79,-433.51514835941794,-1758.1430702642567,0.6730128848950395,0.36067962646484375
80,-453.7185147060752,-1741.8377633197797,0.6696478204705644,0.5010726451873779
81,-709.5516385236681,-1729.0934901741487,0.6662995813682115,0.4209434986114502
82,-1317.4826632054446,-1724.073845942823,0.6629680834613705,0.31472039222717285
83,-195.30971373158695,-1705.6550009764226,0.6596532430440636,0.6052815914154053
84,-556.6590513308272,-1691.9764777663559,0.6563549768288433,0.37024664878845215
85,-297.1947989715934,-1675.5672815452408,0.653073201944699,0.5583405494689941
86,-262.5640027141869,-1659.1370108611588,0.6498078359349755,0.37098050117492676
87,-366.27936647980664,-1644.2765781671203,0.6465587967553006,0.6146214008331299
88,-300.0229395167828,-1629.000968637003,0.6433260027715241,0.45493078231811523
89,-447.696174485676,-1615.727881062269,0.6401093727576664,0.6840240955352783
90,-418.7730708444417,-1602.4283831709597,0.6369088258938781,0.6430857181549072
91,-110.14270320776103,-1586.0296394351005,0.6337242817644086,0.6169576644897461
92,-200.61841500091555,-1570.970821778207,0.6305556603555866,0.4213275909423828
93,-221.09884662839772,-1556.4560693572414,0.6274028820538087,0.8414750099182129
94,-693.2721526758671,-1547.2732617329714,0.6242658676435396,0.26351165771484375
95,-300.6272856719718,-1534.1506725112768,0.6211445383053219,0.5729458332061768
